Developer,Repo Name,Programming Language,Number of Stars
yihong0618,bilingual_book_maker,Python,"1,271"
ddiu8081,chatgpt-demo,TypeScript,"1,561"
Chanzhaoyu,chatgpt-web,Vue,"3,443"
ServiceWeaver,weaver,Go,"1,107"
Asabeneh,30-Days-Of-Python,Python,"20,791"
zhayujie,chatgpt-on-wechat,Python,"4,078"
karfly,chatgpt_telegram_bot,Python,"1,038"
yihong0618,xiaogpt,Python,"1,003"
JimmyLv,BiliGPT,TypeScript,425
TheoKanning,openai-java,Java,"1,146"
mrsked,mrsk,Ruby,"2,804"
869413421,chatgpt-web,Go,723
mckaywrigley,paul-graham-gpt,TypeScript,630
Nutlope,roomGPT,TypeScript,"1,578"
RUB-SysSec,DroneSecurity,Python,184
honghuangdc,soybean-admin,Vue,"2,779"
cisagov,decider,CSS,375
microsoft,PowerToys,C#,"87,525"
hiifeng,V2ray-for-Doprax,Dockerfile,"5,506"
openai,openai-python,Python,"4,898"
mukulpatnaik,researchgpt,Python,"1,130"
ZhangZhuoSJTU,Web3Bugs,Solidity,555
openai-php,client,PHP,"1,650"
f,awesome-chatgpt-prompts,HTML,"36,205"
FeatureProbe,FeatureProbe,TypeScript,642
